comparison,delta_mean_pp,delta_sd_pp,seeds
CBAM - baseline,-0.20964360587002098,1.180118474758669,3
LTA - baseline,-0.3144654088050315,0.6853614691101688,3
SE - baseline,0.05241090146750523,0.6546119495176518,3
