comparison,seed,delta_top1_pp,delta_ci95_low_pp,delta_ci95_high_pp,bootstrap_p_two_sided,ci_excludes_zero
SE - baseline,42,-0.15723270440251574,-2.044025157232704,1.729559748427673,0.9422,False
CBAM - baseline,42,0.9433962264150944,-1.10062893081761,2.9874213836477987,0.3982,False
LTA - baseline,42,0.4716981132075472,-1.729559748427673,2.6729559748427674,0.7252,False
SE - baseline,123,-0.4716981132075472,-2.358490566037736,1.5723270440251573,0.7092,False
CBAM - baseline,123,-1.4150943396226416,-3.7735849056603774,0.7861635220125787,0.2578,False
LTA - baseline,123,-0.628930817610063,-2.515723270440252,1.4150943396226416,0.5948,False
SE - baseline,2026,0.7861635220125787,-1.5723270440251573,2.9874213836477987,0.548,False
CBAM - baseline,2026,-0.15723270440251574,-2.515723270440252,2.20125786163522,0.9756,False
LTA - baseline,2026,-0.7861635220125787,-2.9874213836477987,1.4150943396226416,0.5302,False
